Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_15,sma_20,sma_50,sma_200,sma_ratio_5_15,sma_ratio_10_50,sma_5_Volume,sma_10_Volume,sma_15_Volume,sma_50_Volume,sma_Volume_ratio_5_15,sma_Volume_ratio_10_50,ema_5,ema_10,ema_20,ema_50,ema_200
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894531,125.06999969482422,124.04804992675781,112117500,128.13599853515626,130.48899841308594,133.93799947102863,136.21800003051757,142.70959930419923,151.43324996948243,1.0452800228054608,1.0654900018502063,83860320.0,80392200.0,87310060.0,84200786.0,0.9604886309779194,0.9547678094121355,128.355968995609,130.8292832441361,134.8063457400736,140.6744274046995,148.81747248457415
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105469,126.36000061035156,125.3275146484375,89113600,127.4019989013672,129.88799896240235,132.72933247884114,135.20449981689453,142.29139923095704,151.2451499938965,1.0418151490825376,1.0720418506861715,87881480.0,81344300.0,88553453.33333333,84252086.0,0.9924116642768985,0.9654870741123253,127.69064620052319,130.0166864016298,134.0019319181953,140.1130773343329,148.59401505298985
2023-01-05,127.12999725341797,127.7699966430664,124.76000213623047,125.0199966430664,123.99846649169922,80962700,127.197998046875,129.1599983215332,131.36599884033203,134.30999946594238,141.80279922485352,151.04334995269775,1.032767817555753,1.0794482626909176,86986340.0,81697290.0,87691886.66666667,84351702.0,0.9919542537686686,0.9685316130313529,126.80042968137093,129.10819735461828,133.14650951104016,139.52119181702832,148.35944770562742
2023-01-06,126.01000213623047,130.2899932861328,124.88999938964844,129.6199951171875,128.5608673095703,87754700,127.19999694824219,128.57699813842774,130.45999806722006,133.74399909973144,141.34839920043945,150.8473498916626,1.0256289402294905,1.0834616073473273,89396540.0,81879960.0,88056120.0,84612150.0,1.0152223377546046,0.9677092474307768,127.74028482664312,129.20125149326722,132.8106509973399,139.13290959350516,148.17298549081707
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,129.08651733398438,70790800,127.2439971923828,128.36899795532227,130.0366643269857,133.11899909973144,140.96439895629882,150.64704982757567,1.02194733894111,1.0840357962569283,88147860.0,81173830.0,86180046.66666667,84264080.0,1.0228337464348862,0.9633266036963792,128.54352118325687,129.37375011203397,132.55725508297272,138.7806383897004,147.99365224112222
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,129.66180419921875,63896200,128.3759963989258,128.25599746704103,129.7846644083659,132.54749870300293,140.68299880981445,150.43034976959228,1.0109729859861238,1.0839724358122704,78503600.0,81181960.0,79762666.66666667,83358400.0,0.9842148373508073,0.9738905737154264,129.27234603135093,129.620340223944,132.38323038245522,138.4649269127529,147.82187456437015
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,132.39926147460938,69458900,129.80199737548827,128.60199813842775,129.8593317667643,131.99749870300292,140.23799880981446,150.2241997909546,1.0004417065410032,1.079922381409531,74572660.0,81227070.0,79087086.66666667,81452330.0,0.9429182834146628,0.9972344560309079,130.67823251862197,130.32391572743856,132.48863753585607,138.26983195512196,147.6792689019701
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,132.3199005126953,71379600,131.47999877929686,129.33899841308593,129.93333180745444,131.39449882507324,139.83939895629882,150.01324977874756,0.9882364847413889,1.0762396146627256,72656040.0,79821190.0,78683540.0,80921058.0,0.9233956682681028,0.986408136186257,131.58882289978445,130.88502262465144,132.57638669073734,138.07925045343518,147.537286163265
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,133.65887451171875,57809700,132.50799865722655,129.85399780273437,129.887331644694,130.97199821472168,139.52159896850586,149.7922497177124,0.9802225749457455,1.0741740337707941,66667040.0,78031790.0,76808986.66666667,80469666.0,0.8679588534258317,0.9697044101065363,132.64588010213495,131.5895629668668,132.7843493398896,137.94908355356856,147.4101489328528
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,134.8292236328125,63646600,133.66600036621094,130.4549987792969,130.1346654256185,130.943998336792,139.33979904174805,149.58309970855714,0.9735809036634785,1.070735446132076,65238200.0,76693030.0,75861953.33333333,79870506.0,0.8599594016956942,0.9602171545025644,133.74392088189205,132.3805519622376,133.08488773051022,137.87029605897396,147.29601812199263
